id	label	x	y	cluster	Links	Total_link_strength	Occurrences	Avg_pub_year	Avg_citations	Avg_norm_citations
1	activity	0.6633	0.4975	2	99.0	364.0	115.0	2013.8087	28.2435	0.9266
2	balance	0.6465	0.4309	2	73.0	150.0	55.0	2012.6182	170.7273	1.7257
3	case study	0.3	0.2629	2	111.0	576.0	186.0	2016.5215	30.7527	1.3627
4	challenge	0.1101	0.2126	4	112.0	614.0	179.0	2018.743	55.8603	1.328
5	characterization	-0.5503	-0.4846	1	74.0	146.0	57.0	2013.5789	19.8772	0.7604
6	computational complexity	0.2469	-0.0114	4	67.0	141.0	36.0	2018.3889	14.75	0.7774
7	computational efficiency	-0.5761	0.6835	3	56.0	116.0	32.0	2016.7812	27.6562	1.2105
8	consequence	0.4874	-0.2757	2	75.0	152.0	54.0	2012.2222	37.6481	1.2603
9	convergence	-0.5035	0.3223	3	100.0	528.0	172.0	2012.9419	26.0233	0.9394
10	cost function	-0.1772	-0.5585	1	77.0	173.0	60.0	2011.0667	33.1333	1.0257
11	current state	-0.2553	-0.7953	4	57.0	103.0	27.0	2014.0	56.7407	2.7513
12	dataset	-0.6589	0.614	4	80.0	293.0	91.0	2019.8571	25.8791	1.4707
13	decision maker	1.1519	-0.1697	2	57.0	139.0	39.0	2014.3846	19.6923	0.7114
14	decision making	0.6946	-0.1822	2	87.0	236.0	71.0	2013.8451	16.8592	1.0588
15	decision variable	0.7683	0.0735	2	70.0	141.0	40.0	2013.925	25.85	0.946
16	dependence	0.1435	-0.6406	2	79.0	183.0	64.0	2012.5	25.0625	1.0052
17	design optimization	-0.4203	1.0233	3	61.0	154.0	48.0	2014.0625	27.6875	1.1363
18	detection	-0.4426	0.0049	1	90.0	292.0	94.0	2010.5745	25.9149	0.9585
19	discrete time	-0.4337	-0.7331	1	47.0	84.0	31.0	2010.7742	13.9677	0.6267
20	disturbance	-0.5647	-0.226	1	72.0	148.0	56.0	2011.1071	17.1429	0.8246
21	dynamic programming	0.6585	-0.4778	4	76.0	188.0	72.0	2011.3472	29.4444	1.0872
22	efficacy	-0.3451	0.202	3	62.0	117.0	38.0	2016.0263	18.3421	1.0208
23	energy consumption	0.4325	-0.552	4	64.0	118.0	47.0	2017.9574	26.7021	1.2538
24	engineering	-0.2005	0.3137	1	90.0	283.0	82.0	2013.6341	116.7683	1.4734
25	error	-0.7837	0.0891	1	112.0	774.0	234.0	2013.7137	55.4744	1.0794
26	estimate	-0.9233	-0.4548	1	93.0	463.0	139.0	2009.3525	25.5755	0.7827
27	estimation	-0.7599	-0.0237	1	114.0	905.0	275.0	2012.12	34.8218	1.1085
28	evolutionary algorithm	0.1561	0.1207	3	53.0	112.0	53.0	2011.9623	61.0943	1.4095
29	expectation	-0.247	-0.6445	1	77.0	178.0	64.0	2011.8281	22.8281	0.9839
30	experimental data	-0.827	-0.1077	1	62.0	124.0	40.0	2013.35	25.4	0.8905
31	experimental result	-0.1189	0.7424	3	78.0	244.0	87.0	2013.6782	27.3793	0.8828
32	failure	0.9763	0.3884	2	96.0	452.0	135.0	2015.2519	20.6593	1.0993
33	feasibility	0.2625	0.8054	3	67.0	147.0	49.0	2017.6327	24.551	0.8265
34	frequency	0.0709	-0.2356	1	89.0	230.0	96.0	2013.1771	36.2396	1.0358
35	future	0.1699	0.7228	3	59.0	112.0	32.0	2012.875	21.0625	0.9686
36	gaussian process	-1.1361	0.0711	1	62.0	136.0	44.0	2016.25	16.0455	0.7124
37	genetic algorithm	0.0003	0.5591	3	98.0	365.0	139.0	2010.9209	26.0072	0.7379
38	gradient	-0.6175	0.2528	3	86.0	284.0	86.0	2013.8721	28.8953	1.0727
39	hypothesis	0.0093	-0.4284	2	57.0	121.0	49.0	2010.7143	28.7755	1.256
40	identification	-0.7413	0.2299	1	91.0	291.0	82.0	2011.0244	18.8049	0.7786
41	important role	0.603	0.2266	2	55.0	78.0	29.0	2015.3103	12.3103	0.526
42	inspection	1.3904	0.2074	2	63.0	211.0	51.0	2014.6471	17.8627	0.9872
43	interaction	0.3824	-0.0183	2	96.0	303.0	112.0	2012.9732	35.2321	1.0891
44	interval	0.6839	0.2141	2	102.0	449.0	161.0	2013.0062	32.1118	1.2548
45	investment	0.7001	-0.3308	2	51.0	113.0	63.0	2014.9524	11.8571	0.5449
46	iteration	-0.1829	0.8817	3	86.0	250.0	84.0	2013.7738	21.7262	0.954
47	learning	-0.3048	0.0117	4	97.0	327.0	93.0	2015.9032	20.3118	1.0594
48	linear	-0.5986	-0.3529	1	77.0	181.0	63.0	2009.9206	24.0	0.8923
49	machine learning	-0.5899	0.4092	4	64.0	143.0	41.0	2021.7317	75.5854	3.4336
50	maintenance	1.2404	0.2016	2	90.0	413.0	122.0	2014.7705	20.2213	1.1122
51	maintenance policy	1.5314	0.2008	2	53.0	165.0	47.0	2013.1915	22.7872	1.3893
52	markov chain	0.6049	0.1087	2	90.0	268.0	94.0	2014.2553	22.4149	1.0601
53	markov decision process	1.0759	-0.3713	4	63.0	159.0	49.0	2015.1224	28.3061	1.2433
54	model parameter	-0.5863	-0.0398	1	87.0	256.0	78.0	2011.8846	22.3333	0.7427
55	monte carlo method	-0.138	0.4468	3	51.0	74.0	31.0	2013.4839	39.2581	1.2171
56	neural network	-0.7825	0.4445	4	93.0	405.0	127.0	2014.8661	28.7244	1.5469
57	new model	-0.1621	-0.3305	2	46.0	72.0	26.0	2012.1154	14.5769	0.4292
58	novel approach	-0.6591	-0.1763	1	59.0	90.0	30.0	2017.7	11.3	0.5164
59	numerical experiment	0.585	0.3409	2	73.0	170.0	63.0	2017.5556	13.9683	0.7785
60	observation	-0.4005	-0.5905	1	100.0	334.0	107.0	2012.0467	29.9159	0.5949
61	occurrence	0.9105	0.0265	2	64.0	111.0	37.0	2013.3784	18.6216	0.8685
62	opportunity	0.7949	-0.0818	2	68.0	146.0	51.0	2013.9412	23.4706	0.9971
63	optimal control	-0.1139	-0.7863	1	81.0	199.0	86.0	2010.4884	16.3256	0.6748
64	optimal design	-0.3913	0.5886	3	62.0	129.0	46.0	2011.3043	17.1739	0.8526
65	optimal policy	1.2014	-0.5497	4	51.0	116.0	40.0	2012.625	24.5	0.8068
66	optimal solution	0.2763	0.4346	3	99.0	356.0	126.0	2013.3492	32.6746	1.0589
67	optimal strategy	0.8827	-0.6031	2	55.0	87.0	43.0	2012.2326	24.2326	0.8528
